City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Salalah,OM,17.0151,54.0924,74.71,59,21,2.42,few clouds
305,Moron,AR,-34.6534,-58.6198,69.01,99,79,3.0,moderate rain
306,Barra Do Garcas,BR,-15.89,-52.2567,73.2,87,90,4.25,overcast clouds
307,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,94,75,16.15,broken clouds
308,Kampot,KH,10.6167,104.1833,75.2,88,75,2.3,broken clouds
309,Severodvinsk,RU,64.5635,39.8302,32.0,100,90,8.95,light rain and snow
310,Banjar,ID,-8.19,114.9675,80.6,83,20,2.3,few clouds
311,Zhangjiakou,CN,40.81,114.8794,48.81,45,55,6.64,broken clouds
312,Kpandu,GH,6.9954,0.2931,79.77,85,99,8.32,overcast clouds
313,Manggar,ID,-2.8833,108.2667,81.03,81,93,7.18,overcast clouds
314,Kati,ML,12.7441,-8.0726,91.4,9,0,10.36,clear sky
315,Lamar,US,33.6668,-95.5836,78.8,31,1,13.8,clear sky
316,Ust-Tsilma,RU,65.441,52.1498,38.52,96,100,16.26,overcast clouds
317,Bonthe,SL,7.5264,-12.505,80.55,86,40,2.84,scattered clouds
318,Kangasala,FI,61.4638,24.076,28.4,74,0,6.91,clear sky
319,Chapais,CA,49.7834,-74.8492,50.0,71,90,5.75,overcast clouds
320,Padang,ID,-0.9492,100.3543,75.2,100,20,2.3,few clouds
321,Torbay,CA,47.6666,-52.7314,39.99,100,90,19.57,light intensity drizzle
322,Qianguo,CN,45.1171,124.8568,44.13,17,90,5.61,overcast clouds
323,Bereda,ES,43.2686,-7.5406,48.0,100,6,1.99,clear sky
324,Northam,GB,51.0333,-4.2167,43.0,90,100,5.01,overcast clouds
325,Port Lincoln,AU,-34.7333,135.8667,63.19,58,33,12.5,scattered clouds
326,Quatre Cocos,MU,-20.2078,57.7625,79.0,83,40,6.91,scattered clouds
327,Paamiut,GL,61.994,-49.6678,32.92,77,100,15.68,overcast clouds
328,Kloulklubed,PW,7.0419,134.2556,82.4,83,75,4.61,broken clouds
329,Novocheremshansk,RU,54.3571,50.1666,39.2,90,100,0.81,moderate rain
330,Aklavik,CA,68.2191,-135.0107,-11.2,64,90,25.32,snow
331,Port Hardy,CA,50.6996,-127.4199,42.8,70,90,4.61,overcast clouds
332,Sandnessjoen,NO,66.0217,12.6316,33.01,59,99,16.11,overcast clouds
333,Manono,CD,-7.3,27.4167,68.07,98,99,3.29,light rain
334,Am Timan,TD,11.0297,20.2827,88.18,12,77,5.35,broken clouds
335,Alibag,IN,18.6411,72.8792,80.6,83,20,3.87,haze
336,Suditi,RO,44.5833,27.6,37.99,55,18,3.0,few clouds
337,Valle De Allende,MX,26.9333,-105.4,86.49,6,22,10.63,few clouds
338,Hong Gai,VN,20.956,107.0946,71.6,83,75,6.91,broken clouds
339,Budogoshch,RU,59.2816,32.4707,29.07,84,59,7.2,broken clouds
340,Darnah,LY,32.767,22.6367,56.01,63,83,21.79,broken clouds
341,Gordeyevka,RU,52.9569,31.9703,31.32,91,52,6.91,broken clouds
342,Alvaraes,BR,-3.2208,-64.8042,86.0,79,20,3.44,few clouds
343,Kirakira,SB,-10.4544,161.9205,81.0,83,99,12.64,overcast clouds
344,Kaoma,ZM,-14.7833,24.8,57.9,77,38,5.75,scattered clouds
345,Sirjan,IR,29.452,55.6814,59.16,18,2,6.02,clear sky
346,Hervey Bay,AU,-25.2986,152.8535,82.99,78,40,6.91,scattered clouds
