City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Cobija,BO,2021-04-08 00:40:33,-11.0267,-68.7692,75.54,91,100,0.29
274,Vao,NC,2021-04-08 00:34:37,-22.6667,167.4833,76.42,75,21,17.16
275,Cikampek,ID,2021-04-08 00:40:33,-6.4197,107.4558,78.8,89,20,4.61
276,Tateyama,JP,2021-04-08 00:40:33,34.9833,139.8667,57.99,66,75,5.75
277,Anapolis,BR,2021-04-08 00:40:34,-16.3267,-48.9528,66.2,100,75,10.36
278,Harer,ET,2021-04-08 00:40:34,9.3094,42.1258,56.89,27,74,1.74
279,Kieta,PG,2021-04-08 00:33:59,-6.2167,155.6333,78.6,90,100,10.38
280,Buraydah,SA,2021-04-08 00:40:35,26.326,43.975,71.6,23,0,10.36
281,Kintampo,GH,2021-04-08 00:40:35,8.0563,-1.7306,82.78,52,23,7.34
282,Skaelskor,DK,2021-04-08 00:40:35,55.2506,11.2935,39.99,89,8,17.45
283,Fort Saint James,CA,2021-04-08 00:40:35,54.4333,-124.25,37.71,56,86,7.43
284,Julio De Castilhos,BR,2021-04-08 00:40:36,-29.2269,-53.6817,71.6,73,0,4.61
285,Urumqi,CN,2021-04-08 00:40:36,43.801,87.6005,51.8,54,0,2.24
286,Asyut,EG,2021-04-08 00:40:36,27.181,31.1837,72.12,23,0,3.49
287,Qaqortoq,GL,2021-04-08 00:40:37,60.7167,-46.0333,39.2,56,40,5.75
288,Comodoro Rivadavia,AR,2021-04-08 00:35:06,-45.8667,-67.5,64.4,39,0,13.8
289,Coahuayana,MX,2021-04-08 00:34:51,18.7333,-103.6833,80.6,47,1,11.5
290,Kaitangata,NZ,2021-04-08 00:31:40,-46.2817,169.8464,61.0,69,8,8.01
291,Qaanaaq,GL,2021-04-08 00:34:04,77.484,-69.3632,2.23,68,100,7.58
292,Nikolayevsk-Na-Amure,RU,2021-04-08 00:40:38,53.1406,140.73,31.75,84,100,12.5
